"town","landUse","status","acres"
"LakewoodShores","institutional","canopy",8.39
"LakewoodShores","natural area","canopy",2.28
"LakewoodShores","other","canopy",0
"LakewoodShores","park","canopy",0
"LakewoodShores","residential","canopy",254.87
"LakewoodShores","transit","canopy",31.46
"LakewoodShores","utility","canopy",0
"LakewoodShores","vacant","canopy",60.73
"LakewoodShores","water","canopy",3.73
"LakeZurich","agriculture","canopy",3.07
"LakeZurich","cemetery","canopy",0.26
"LakeZurich","commercial","canopy",73.78
"LakeZurich","golf","canopy",55.48
"LakeZurich","industrial","canopy",0
"LakeZurich","institutional","canopy",38.26
"LakeZurich","natural area","canopy",18.49
"LakeZurich","other","canopy",0.06
"LakeZurich","park","canopy",37.94
"LakeZurich","residential","canopy",638.94
"LakeZurich","transit","canopy",153.61
"LakeZurich","utility","canopy",0.67
"LakeZurich","vacant","canopy",76.33
"LakeZurich","water","canopy",9.99
"Lansing","agriculture","canopy",0.48
"Lansing","cemetery","canopy",7.16
"Lansing","commercial","canopy",39.47
"Lansing","golf","canopy",9.96
"Lansing","industrial","canopy",0
"Lansing","institutional","canopy",41.14
"Lansing","natural area","canopy",12.42
"Lansing","other","canopy",3.28
"Lansing","park","canopy",23.34
"Lansing","residential","canopy",467.5
"Lansing","transit","canopy",252.94
"Lansing","utility","canopy",1.6
"Lansing","vacant","canopy",42.85
"Lansing","water","canopy",16.59
"Lemont","agriculture","canopy",32.95
"Lemont","cemetery","canopy",4.55
"Lemont","commercial","canopy",55.34
"Lemont","golf","canopy",54.15
"Lemont","industrial","canopy",0
"Lemont","institutional","canopy",67.72
"Lemont","natural area","canopy",243.11
"Lemont","other","canopy",0.91
"Lemont","park","canopy",15.79
"Lemont","residential","canopy",445.43
"Lemont","transit","canopy",150.59
"Lemont","utility","canopy",30.15
"Lemont","vacant","canopy",247.16
"Lemont","water","canopy",21.5
"Libertyville","agriculture","canopy",15
"Libertyville","cemetery","canopy",5.14
"Libertyville","commercial","canopy",136.05
"Libertyville","golf","canopy",12.32
"Libertyville","industrial","canopy",0
"Libertyville","institutional","canopy",152.16
"Libertyville","natural area","canopy",195.51
"Libertyville","other","canopy",0.41
"Libertyville","park","canopy",42.4
"Libertyville","residential","canopy",896.12
"Libertyville","transit","canopy",249.38
"Libertyville","utility","canopy",14.99
"Libertyville","vacant","canopy",164.83
"Libertyville","water","canopy",8.17
"LilyLake","agriculture","canopy",33.7
"LilyLake","cemetery","canopy",0.16
"LilyLake","commercial","canopy",10.66
"LilyLake","golf","canopy",0
"LilyLake","industrial","canopy",0
"LilyLake","institutional","canopy",3.11
"LilyLake","natural area","canopy",38.46
"LilyLake","other","canopy",0
"LilyLake","park","canopy",0
"LilyLake","residential","canopy",146.43
"LilyLake","transit","canopy",12.6
"LilyLake","utility","canopy",0
"LilyLake","vacant","canopy",10.54
"LilyLake","water","canopy",0
"Lincolnshire","agriculture","canopy",6.5
"Lincolnshire","cemetery","canopy",0.85
"Lincolnshire","commercial","canopy",123.23
"Lincolnshire","golf","canopy",37.64
"Lincolnshire","industrial","canopy",0
"Lincolnshire","institutional","canopy",35.28
"Lincolnshire","natural area","canopy",117.04
"Lincolnshire","other","canopy",0
"Lincolnshire","park","canopy",20.89
"Lincolnshire","residential","canopy",695.22
"Lincolnshire","transit","canopy",110.22
"Lincolnshire","utility","canopy",1.54
"Lincolnshire","vacant","canopy",80.33
"Lincolnshire","water","canopy",3.74
"Lincolnwood","agriculture","canopy",0
"Lincolnwood","cemetery","canopy",1.78
"Lincolnwood","commercial","canopy",14.62
"Lincolnwood","golf","canopy",49.4
"Lincolnwood","industrial","canopy",0
"Lincolnwood","institutional","canopy",3.07
"Lincolnwood","natural area","canopy",26.66
"Lincolnwood","other","canopy",0
"Lincolnwood","park","canopy",9.7
"Lincolnwood","residential","canopy",197.52
"Lincolnwood","transit","canopy",168
"Lincolnwood","utility","canopy",12.63
"Lincolnwood","vacant","canopy",3.99
"Lincolnwood","water","canopy",0.53
"Lindenhurst","agriculture","canopy",42.16
"Lindenhurst","cemetery","canopy",0.06
"Lindenhurst","commercial","canopy",9.13
"Lindenhurst","golf","canopy",0
"Lindenhurst","industrial","canopy",0
"Lindenhurst","institutional","canopy",23.05
"Lindenhurst","natural area","canopy",47.21
"Lindenhurst","other","canopy",0
"Lindenhurst","park","canopy",23.91
"Lindenhurst","residential","canopy",367.4
"Lindenhurst","transit","canopy",58.92
"Lindenhurst","utility","canopy",4.18
"Lindenhurst","vacant","canopy",69.43
"Lindenhurst","water","canopy",3.97
"Lisbon","agriculture","canopy",6.46
"Lisbon","cemetery","canopy",0.33
"Lisbon","commercial","canopy",2.03
"Lisbon","golf","canopy",0
"Lisbon","industrial","canopy",0
"Lisbon","institutional","canopy",1.14
"Lisbon","natural area","canopy",0
"Lisbon","other","canopy",0
"Lisbon","park","canopy",0
"Lisbon","residential","canopy",19.54
"Lisbon","transit","canopy",2.73
"Lisbon","utility","canopy",0
"Lisbon","vacant","canopy",0.07
"Lisbon","water","canopy",0
"Lisle","agriculture","canopy",1.44
"Lisle","cemetery","canopy",0.87
"Lisle","commercial","canopy",115.58
"Lisle","golf","canopy",8.44
"Lisle","industrial","canopy",0
"Lisle","institutional","canopy",93.19
"Lisle","natural area","canopy",39.69
"Lisle","other","canopy",0.07
"Lisle","park","canopy",76.07
"Lisle","residential","canopy",690.75
"Lisle","transit","canopy",160.59
"Lisle","utility","canopy",7.27
"Lisle","vacant","canopy",54.66
"Lisle","water","canopy",7.89
"Lockport","agriculture","canopy",70.45
"Lockport","cemetery","canopy",2.28
"Lockport","commercial","canopy",64.27
"Lockport","golf","canopy",15.52
"Lockport","industrial","canopy",0
"Lockport","institutional","canopy",35.18
"Lockport","natural area","canopy",88.06
"Lockport","other","canopy",3.95
"Lockport","park","canopy",63.62
"Lockport","residential","canopy",401.32
"Lockport","transit","canopy",172.18
"Lockport","utility","canopy",17.31
"Lockport","vacant","canopy",217.15
"Lockport","water","canopy",5.15
"Lombard","agriculture","canopy",0
"Lombard","cemetery","canopy",2.92
"Lombard","commercial","canopy",84.07
"Lombard","golf","canopy",26.26
"Lombard","industrial","canopy",0
"Lombard","institutional","canopy",37.28
"Lombard","natural area","canopy",87.31
"Lombard","other","canopy",0.05
"Lombard","park","canopy",91.47
"Lombard","residential","canopy",1034.15
"Lombard","transit","canopy",345.76
"Lombard","utility","canopy",6.32
"Lombard","vacant","canopy",38.56
"Lombard","water","canopy",9.42
"LongGrove","agriculture","canopy",260.69
"LongGrove","cemetery","canopy",0
"LongGrove","commercial","canopy",26.68
"LongGrove","golf","canopy",88.1
"LongGrove","industrial","canopy",0
"LongGrove","institutional","canopy",31.26
"LongGrove","natural area","canopy",288.74
"LongGrove","other","canopy",0.62
"LongGrove","park","canopy",29.29
"LongGrove","residential","canopy",1907.8
"LongGrove","transit","canopy",163.11
"LongGrove","utility","canopy",5.38
"LongGrove","vacant","canopy",221.89
"LongGrove","water","canopy",0.89
"LongLake","agriculture","canopy",4.81
"LongLake","cemetery","canopy",0
"LongLake","commercial","canopy",2.73
"LongLake","golf","canopy",0
"LongLake","industrial","canopy",0
"LongLake","institutional","canopy",0.13
"LongLake","natural area","canopy",32.29
"LongLake","other","canopy",0.06
"LongLake","park","canopy",1.71
"LongLake","residential","canopy",202.43
"LongLake","transit","canopy",37.92
"LongLake","utility","canopy",0
"LongLake","vacant","canopy",19.09
"LongLake","water","canopy",7.65
"Lynwood","agriculture","canopy",37.93
"Lynwood","cemetery","canopy",0
"Lynwood","commercial","canopy",17.28
"Lynwood","golf","canopy",0
"Lynwood","industrial","canopy",0
"Lynwood","institutional","canopy",5.68
"Lynwood","natural area","canopy",0.01
"Lynwood","other","canopy",4.33
"Lynwood","park","canopy",1.36
"Lynwood","residential","canopy",158.08
"Lynwood","transit","canopy",32.22
"Lynwood","utility","canopy",1.77
"Lynwood","vacant","canopy",28.75
"Lynwood","water","canopy",10.6
"Lyons","agriculture","canopy",0
"Lyons","cemetery","canopy",0
"Lyons","commercial","canopy",10.82
"Lyons","golf","canopy",0
"Lyons","industrial","canopy",0
"Lyons","institutional","canopy",2.02
"Lyons","natural area","canopy",289.23
"Lyons","other","canopy",1.5
"Lyons","park","canopy",1.09
"Lyons","residential","canopy",121.24
"Lyons","transit","canopy",85.94
"Lyons","utility","canopy",7.35
"Lyons","vacant","canopy",2.48
"Lyons","water","canopy",11.95
"Manhattan","agriculture","canopy",53.86
"Manhattan","cemetery","canopy",0.13
"Manhattan","commercial","canopy",4.06
"Manhattan","golf","canopy",0
"Manhattan","industrial","canopy",0
"Manhattan","institutional","canopy",2.15
"Manhattan","natural area","canopy",7.18
"Manhattan","other","canopy",0
"Manhattan","park","canopy",5.38
"Manhattan","residential","canopy",80.08
"Manhattan","transit","canopy",23.48
"Manhattan","utility","canopy",3.89
"Manhattan","vacant","canopy",6.42
"Manhattan","water","canopy",0
"MaplePark","agriculture","canopy",2.32
"MaplePark","cemetery","canopy",0
"MaplePark","commercial","canopy",0.72
"MaplePark","golf","canopy",0
"MaplePark","industrial","canopy",0
"MaplePark","institutional","canopy",0.41
"MaplePark","natural area","canopy",0
"MaplePark","other","canopy",0
"MaplePark","park","canopy",0.5
"MaplePark","residential","canopy",23.24
"MaplePark","transit","canopy",10.46
"MaplePark","utility","canopy",0.09
"MaplePark","vacant","canopy",0.83
"MaplePark","water","canopy",0
"Marengo","agriculture","canopy",138.25
"Marengo","cemetery","canopy",3.27
"Marengo","commercial","canopy",25.08
"Marengo","golf","canopy",7.73
"Marengo","industrial","canopy",0
"Marengo","institutional","canopy",7.11
"Marengo","natural area","canopy",78.55
"Marengo","other","canopy",0
"Marengo","park","canopy",13.95
"Marengo","residential","canopy",249.39
"Marengo","transit","canopy",73.94
"Marengo","utility","canopy",2.63
"Marengo","vacant","canopy",126.24
"Marengo","water","canopy",3.42
"Markham","agriculture","canopy",0.86
"Markham","cemetery","canopy",0
"Markham","commercial","canopy",25.34
"Markham","golf","canopy",0
"Markham","industrial","canopy",0
"Markham","institutional","canopy",21.83
"Markham","natural area","canopy",146.25
"Markham","other","canopy",2.09
"Markham","park","canopy",7.49
"Markham","residential","canopy",481.3
"Markham","transit","canopy",215.93
"Markham","utility","canopy",1.44
"Markham","vacant","canopy",131.14
"Markham","water","canopy",0.04
"Matteson","agriculture","canopy",79.27
"Matteson","cemetery","canopy",1.13
"Matteson","commercial","canopy",40.53
"Matteson","golf","canopy",0.14
"Matteson","industrial","canopy",0
"Matteson","institutional","canopy",11.35
"Matteson","natural area","canopy",17.4
"Matteson","other","canopy",0.26
"Matteson","park","canopy",20.32
"Matteson","residential","canopy",304.69
"Matteson","transit","canopy",162.46
"Matteson","utility","canopy",8.81
"Matteson","vacant","canopy",95.32
"Matteson","water","canopy",2.64
"Maywood","agriculture","canopy",0
"Maywood","cemetery","canopy",0.21
"Maywood","commercial","canopy",7.63
"Maywood","golf","canopy",1.79
"Maywood","industrial","canopy",0
"Maywood","institutional","canopy",11.28
"Maywood","natural area","canopy",23.77
"Maywood","other","canopy",0.05
"Maywood","park","canopy",4.17
"Maywood","residential","canopy",239.3
"Maywood","transit","canopy",189.31
"Maywood","utility","canopy",1.9
"Maywood","vacant","canopy",5.84
"Maywood","water","canopy",1.02
"McCook","agriculture","canopy",0
"McCook","cemetery","canopy",0
"McCook","commercial","canopy",60.28
"McCook","golf","canopy",0
"McCook","industrial","canopy",0
"McCook","institutional","canopy",0.23
"McCook","natural area","canopy",0
"McCook","other","canopy",0.12
"McCook","park","canopy",0.62
"McCook","residential","canopy",2.35
"McCook","transit","canopy",16.6
"McCook","utility","canopy",22.75
"McCook","vacant","canopy",4.05
"McCook","water","canopy",9.21
"McCullomLake","agriculture","canopy",4.5
"McCullomLake","cemetery","canopy",0
"McCullomLake","commercial","canopy",1.11
"McCullomLake","golf","canopy",0
"McCullomLake","industrial","canopy",0
"McCullomLake","institutional","canopy",0.28
"McCullomLake","natural area","canopy",0
"McCullomLake","other","canopy",0
"McCullomLake","park","canopy",0.74
"McCullomLake","residential","canopy",59.04
"McCullomLake","transit","canopy",18.12
"McCullomLake","utility","canopy",0
"McCullomLake","vacant","canopy",9.67
"McCullomLake","water","canopy",0.33
"McHenry","agriculture","canopy",187.38
"McHenry","cemetery","canopy",6.09
"McHenry","commercial","canopy",119.73
"McHenry","golf","canopy",20.41
"McHenry","industrial","canopy",0
"McHenry","institutional","canopy",47.62
"McHenry","natural area","canopy",80.94
"McHenry","other","canopy",0.1
"McHenry","park","canopy",60.49
"McHenry","residential","canopy",942.92
"McHenry","transit","canopy",177.38
"McHenry","utility","canopy",27.09
"McHenry","vacant","canopy",212.47
"McHenry","water","canopy",18.49
"MelrosePark","agriculture","canopy",0
"MelrosePark","cemetery","canopy",0
"MelrosePark","commercial","canopy",49.75
"MelrosePark","golf","canopy",0.41
"MelrosePark","industrial","canopy",0
"MelrosePark","institutional","canopy",16.98
"MelrosePark","natural area","canopy",21.43
"MelrosePark","other","canopy",6.05
"MelrosePark","park","canopy",1.62
"MelrosePark","residential","canopy",100.6
"MelrosePark","transit","canopy",138.82
"MelrosePark","utility","canopy",1.19
"MelrosePark","vacant","canopy",2.97
"MelrosePark","water","canopy",2.68
"MerrionettePark","agriculture","canopy",0
"MerrionettePark","cemetery","canopy",7.46
"MerrionettePark","commercial","canopy",6.99
"MerrionettePark","golf","canopy",0
"MerrionettePark","industrial","canopy",0
"MerrionettePark","institutional","canopy",0.37
"MerrionettePark","natural area","canopy",0
"MerrionettePark","other","canopy",0
"MerrionettePark","park","canopy",4.61
"MerrionettePark","residential","canopy",20.58
"MerrionettePark","transit","canopy",12.03
"MerrionettePark","utility","canopy",0
"MerrionettePark","vacant","canopy",0
"MerrionettePark","water","canopy",0
"Mettawa","agriculture","canopy",97.14
"Mettawa","cemetery","canopy",0
"Mettawa","commercial","canopy",24.98
"Mettawa","golf","canopy",0.03
"Mettawa","industrial","canopy",0
"Mettawa","institutional","canopy",1.22
"Mettawa","natural area","canopy",966.91
"Mettawa","other","canopy",0
"Mettawa","park","canopy",0
"Mettawa","residential","canopy",612.22
"Mettawa","transit","canopy",56.11
"Mettawa","utility","canopy",0
"Mettawa","vacant","canopy",332.24
"Mettawa","water","canopy",2.93
"Midlothian","agriculture","canopy",0
"Midlothian","cemetery","canopy",0
"Midlothian","commercial","canopy",6.53
"Midlothian","golf","canopy",55.31
"Midlothian","industrial","canopy",0
"Midlothian","institutional","canopy",7.88
"Midlothian","natural area","canopy",2.5
"Midlothian","other","canopy",2.61
"Midlothian","park","canopy",8.46
"Midlothian","residential","canopy",342.17
"Midlothian","transit","canopy",153.96
"Midlothian","utility","canopy",0.95
"Midlothian","vacant","canopy",23.74
"Midlothian","water","canopy",0
"Millbrook","agriculture","canopy",94.73
"Millbrook","cemetery","canopy",0
"Millbrook","commercial","canopy",0.81
"Millbrook","golf","canopy",0
"Millbrook","industrial","canopy",0
"Millbrook","institutional","canopy",0.77
"Millbrook","natural area","canopy",45.4
"Millbrook","other","canopy",0
"Millbrook","park","canopy",0
"Millbrook","residential","canopy",64.14
"Millbrook","transit","canopy",6.82
"Millbrook","utility","canopy",0
"Millbrook","vacant","canopy",9.42
"Millbrook","water","canopy",0.79
"Millington","agriculture","canopy",15.52
"Millington","cemetery","canopy",2.39
"Millington","commercial","canopy",0.86
"Millington","golf","canopy",0
"Millington","industrial","canopy",0
"Millington","institutional","canopy",0.19
"Millington","natural area","canopy",1.26
"Millington","other","canopy",0.62
"Millington","park","canopy",0
"Millington","residential","canopy",32.61
"Millington","transit","canopy",8.66
"Millington","utility","canopy",0
"Millington","vacant","canopy",1.47
"Millington","water","canopy",0.01
"Minooka","agriculture","canopy",28.04
"Minooka","cemetery","canopy",0.13
"Minooka","commercial","canopy",0.73
"Minooka","golf","canopy",0
"Minooka","industrial","canopy",0
"Minooka","institutional","canopy",0
"Minooka","natural area","canopy",32.99
"Minooka","other","canopy",0
"Minooka","park","canopy",0.02
"Minooka","residential","canopy",103.26
"Minooka","transit","canopy",10.72
"Minooka","utility","canopy",8.09
"Minooka","vacant","canopy",46.93
"Minooka","water","canopy",0.3
"Mokena","agriculture","canopy",57.34
"Mokena","cemetery","canopy",1.22
"Mokena","commercial","canopy",32.97
"Mokena","golf","canopy",0
"Mokena","industrial","canopy",0
"Mokena","institutional","canopy",14.12
"Mokena","natural area","canopy",95.44
"Mokena","other","canopy",1.34
"Mokena","park","canopy",25.9
"Mokena","residential","canopy",492.22
"Mokena","transit","canopy",114.23
"Mokena","utility","canopy",6.53
"Mokena","vacant","canopy",68.5
"Mokena","water","canopy",3.9
"Monee","agriculture","canopy",65.42
"Monee","cemetery","canopy",3.99
"Monee","commercial","canopy",13.03
"Monee","golf","canopy",0
"Monee","industrial","canopy",0
"Monee","institutional","canopy",2.54
"Monee","natural area","canopy",0.34
"Monee","other","canopy",0
"Monee","park","canopy",0.44
"Monee","residential","canopy",115.6
"Monee","transit","canopy",50.25
"Monee","utility","canopy",2.66
"Monee","vacant","canopy",35.92
"Monee","water","canopy",1.1
"Montgomery","agriculture","canopy",76.43
"Montgomery","cemetery","canopy",9.96
"Montgomery","commercial","canopy",58.2
"Montgomery","golf","canopy",1.92
"Montgomery","industrial","canopy",0
"Montgomery","institutional","canopy",9.13
"Montgomery","natural area","canopy",39.09
"Montgomery","other","canopy",0.77
"Montgomery","park","canopy",35.83
"Montgomery","residential","canopy",260.28
"Montgomery","transit","canopy",88.54
"Montgomery","utility","canopy",3.25
"Montgomery","vacant","canopy",63.5
"Montgomery","water","canopy",13.31
"MortonGrove","agriculture","canopy",0
"MortonGrove","cemetery","canopy",0.41
"MortonGrove","commercial","canopy",34.1
"MortonGrove","golf","canopy",112.27
"MortonGrove","industrial","canopy",0
"MortonGrove","institutional","canopy",9.88
"MortonGrove","natural area","canopy",301.28
"MortonGrove","other","canopy",0.27
"MortonGrove","park","canopy",12.51
"MortonGrove","residential","canopy",323.82
"MortonGrove","transit","canopy",276.94
"MortonGrove","utility","canopy",3.24
"MortonGrove","vacant","canopy",2.28
"MortonGrove","water","canopy",12.6
"MountProspect","agriculture","canopy",0
"MountProspect","cemetery","canopy",0.67
"MountProspect","commercial","canopy",95.92
"MountProspect","golf","canopy",64.89
"MountProspect","industrial","canopy",0
"MountProspect","institutional","canopy",31.92
"MountProspect","natural area","canopy",0
"MountProspect","other","canopy",0.6
"MountProspect","park","canopy",60.71
"MountProspect","residential","canopy",1262.95
"MountProspect","transit","canopy",615.04
"MountProspect","utility","canopy",5.73
"MountProspect","vacant","canopy",10.4
"MountProspect","water","canopy",2.13
"Mundelein","agriculture","canopy",23.78
"Mundelein","cemetery","canopy",1.66
"Mundelein","commercial","canopy",78.1
"Mundelein","golf","canopy",141.95
"Mundelein","industrial","canopy",0
"Mundelein","institutional","canopy",331.65
"Mundelein","natural area","canopy",27.01
"Mundelein","other","canopy",0
"Mundelein","park","canopy",57.01
"Mundelein","residential","canopy",642.27
"Mundelein","transit","canopy",201.85
"Mundelein","utility","canopy",10.39
"Mundelein","vacant","canopy",53.21
"Mundelein","water","canopy",4.54
"Naperville","agriculture","canopy",21.5
"Naperville","cemetery","canopy",21.02
"Naperville","commercial","canopy",226.5
"Naperville","golf","canopy",85.37
"Naperville","industrial","canopy",0
"Naperville","institutional","canopy",112.06
"Naperville","natural area","canopy",379.5
"Naperville","other","canopy",1.36
"Naperville","park","canopy",294.33
"Naperville","residential","canopy",3123.18
"Naperville","transit","canopy",932.71
"Naperville","utility","canopy",18.02
"Naperville","vacant","canopy",69.72
"Naperville","water","canopy",9.93
"Newark","agriculture","canopy",16.5
"Newark","cemetery","canopy",0
"Newark","commercial","canopy",1.08
"Newark","golf","canopy",0
"Newark","industrial","canopy",0
"Newark","institutional","canopy",3.66
"Newark","natural area","canopy",1.19
"Newark","other","canopy",0
"Newark","park","canopy",2.95
"Newark","residential","canopy",70.82
"Newark","transit","canopy",12.89
"Newark","utility","canopy",0.36
"Newark","vacant","canopy",2.84
"Newark","water","canopy",0
"NewLenox","agriculture","canopy",56.41
"NewLenox","cemetery","canopy",1.63
"NewLenox","commercial","canopy",32.75
"NewLenox","golf","canopy",40.74
"NewLenox","industrial","canopy",0
"NewLenox","institutional","canopy",40.81
"NewLenox","natural area","canopy",61.69
"NewLenox","other","canopy",2.36
"NewLenox","park","canopy",19.26
"NewLenox","residential","canopy",576.99
"NewLenox","transit","canopy",151.7
"NewLenox","utility","canopy",16.64
"NewLenox","vacant","canopy",120.29
"NewLenox","water","canopy",4.5
"Niles","agriculture","canopy",21.5
"Niles","cemetery","canopy",52.21
"Niles","commercial","canopy",48.28
"Niles","golf","canopy",9.86
"Niles","industrial","canopy",0
"Niles","institutional","canopy",25.3
"Niles","natural area","canopy",140.68
"Niles","other","canopy",0.04
"Niles","park","canopy",11.76
"Niles","residential","canopy",245
"Niles","transit","canopy",194.3
"Niles","utility","canopy",2.88
"Niles","vacant","canopy",2.09
"Niles","water","canopy",8.5
"Norridge","agriculture","canopy",0
"Norridge","cemetery","canopy",1.67
"Norridge","commercial","canopy",2.4
"Norridge","golf","canopy",0
"Norridge","industrial","canopy",0
"Norridge","institutional","canopy",4.25
"Norridge","natural area","canopy",0
"Norridge","other","canopy",0.07
"Norridge","park","canopy",0.11
"Norridge","residential","canopy",87.6
"Norridge","transit","canopy",71.94
"Norridge","utility","canopy",0.12
"Norridge","vacant","canopy",0.7
"Norridge","water","canopy",0
"NorthAurora","agriculture","canopy",19.72
"NorthAurora","cemetery","canopy",0
"NorthAurora","commercial","canopy",69.67
"NorthAurora","golf","canopy",30.35
"NorthAurora","industrial","canopy",0
"NorthAurora","institutional","canopy",12.74
"NorthAurora","natural area","canopy",84.35
"NorthAurora","other","canopy",0.15
"NorthAurora","park","canopy",26.23
"NorthAurora","residential","canopy",314.98
"NorthAurora","transit","canopy",110.23
"NorthAurora","utility","canopy",9.19
"NorthAurora","vacant","canopy",31.56
"NorthAurora","water","canopy",12.57
"NorthBarrington","agriculture","canopy",9.31
"NorthBarrington","cemetery","canopy",0
"NorthBarrington","commercial","canopy",4.85
"NorthBarrington","golf","canopy",72.21
"NorthBarrington","industrial","canopy",0
"NorthBarrington","institutional","canopy",5.28
"NorthBarrington","natural area","canopy",105.21
"NorthBarrington","other","canopy",0
"NorthBarrington","park","canopy",0.99
"NorthBarrington","residential","canopy",1055.51
"NorthBarrington","transit","canopy",135.89
"NorthBarrington","utility","canopy",0.37
"NorthBarrington","vacant","canopy",96.45
"NorthBarrington","water","canopy",0.12
"NorthBrook","agriculture","canopy",21.5
"NorthBrook","cemetery","canopy",52.21
"NorthBrook","commercial","canopy",48.28
"NorthBrook","golf","canopy",9.86
"NorthBrook","industrial","canopy",0
"NorthBrook","institutional","canopy",25.3
"NorthBrook","natural area","canopy",140.68
"NorthBrook","other","canopy",0.04
"NorthBrook","park","canopy",11.76
"NorthBrook","residential","canopy",245
"NorthBrook","transit","canopy",194.3
"NorthBrook","utility","canopy",2.88
"NorthBrook","vacant","canopy",2.09
"NorthBrook","water","canopy",8.5
"NorthChicago","agriculture","canopy",0.32
"NorthChicago","cemetery","canopy",34.25
"NorthChicago","commercial","canopy",74.56
"NorthChicago","golf","canopy",29.86
"NorthChicago","industrial","canopy",0
"NorthChicago","institutional","canopy",258.52
"NorthChicago","natural area","canopy",113.56
"NorthChicago","other","canopy",0.19
"NorthChicago","park","canopy",19.44
"NorthChicago","residential","canopy",218.98
"NorthChicago","transit","canopy",124.29
"NorthChicago","utility","canopy",10.22
"NorthChicago","vacant","canopy",171.41
"NorthChicago","water","canopy",1.74
"Northfield","agriculture","canopy",0
"Northfield","cemetery","canopy",0
"Northfield","commercial","canopy",31.86
"Northfield","golf","canopy",43.28
"Northfield","industrial","canopy",0
"Northfield","institutional","canopy",24.06
"Northfield","natural area","canopy",129.95
"Northfield","other","canopy",0.45
"Northfield","park","canopy",10.65
"Northfield","residential","canopy",597
"Northfield","transit","canopy",90.57
"Northfield","utility","canopy",2.62
"Northfield","vacant","canopy",16.42
"Northfield","water","canopy",0.13
"NorthLake","agriculture","canopy",0
"NorthLake","cemetery","canopy",15.07
"NorthLake","commercial","canopy",14.38
"NorthLake","golf","canopy",0
"NorthLake","industrial","canopy",0
"NorthLake","institutional","canopy",8.82
"NorthLake","natural area","canopy",1.77
"NorthLake","other","canopy",0.73
"NorthLake","park","canopy",10.91
"NorthLake","residential","canopy",216.71
"NorthLake","transit","canopy",80.37
"NorthLake","utility","canopy",5.63
"NorthLake","vacant","canopy",0.81
"NorthLake","water","canopy",2.65
"NorthRiverside","agriculture","canopy",0
"NorthRiverside","cemetery","canopy",11.78
"NorthRiverside","commercial","canopy",7.35
"NorthRiverside","golf","canopy",37.76
"NorthRiverside","industrial","canopy",0
"NorthRiverside","institutional","canopy",6.89
"NorthRiverside","natural area","canopy",95.81
"NorthRiverside","other","canopy",0.08
"NorthRiverside","park","canopy",6.06
"NorthRiverside","residential","canopy",60.62
"NorthRiverside","transit","canopy",72.47
"NorthRiverside","utility","canopy",0.19
"NorthRiverside","vacant","canopy",0.04
"NorthRiverside","water","canopy",3.71
"OakBrook","agriculture","canopy",0
"OakBrook","cemetery","canopy",19.81
"OakBrook","commercial","canopy",127.45
"OakBrook","golf","canopy",119.94
"OakBrook","industrial","canopy",0
"OakBrook","institutional","canopy",15.42
"OakBrook","natural area","canopy",281.87
"OakBrook","other","canopy",0
"OakBrook","park","canopy",29.1
"OakBrook","residential","canopy",976.35
"OakBrook","transit","canopy",147.53
"OakBrook","utility","canopy",10.41
"OakBrook","vacant","canopy",48.51
"OakBrook","water","canopy",9.73
"OakbrookTerrace","agriculture","canopy",0
"OakbrookTerrace","cemetery","canopy",25.04
"OakbrookTerrace","commercial","canopy",27.3
"OakbrookTerrace","golf","canopy",0
"OakbrookTerrace","industrial","canopy",0
"OakbrookTerrace","institutional","canopy",2.68
"OakbrookTerrace","natural area","canopy",0.26
"OakbrookTerrace","other","canopy",0.09
"OakbrookTerrace","park","canopy",2.79
"OakbrookTerrace","residential","canopy",63.06
"OakbrookTerrace","transit","canopy",21.85
"OakbrookTerrace","utility","canopy",0.03
"OakbrookTerrace","vacant","canopy",9.65
"OakbrookTerrace","water","canopy",0.08
"OakForest","agriculture","canopy",6.83
"OakForest","cemetery","canopy",0.6
"OakForest","commercial","canopy",19.66
"OakForest","golf","canopy",0
"OakForest","industrial","canopy",0
"OakForest","institutional","canopy",37.33
"OakForest","natural area","canopy",234.68
"OakForest","other","canopy",0.82
"OakForest","park","canopy",11.01
"OakForest","residential","canopy",516.99
"OakForest","transit","canopy",200.8
"OakForest","utility","canopy",1.34
"OakForest","vacant","canopy",38.28
"OakForest","water","canopy",1.1
"Oaklawn","agriculture","canopy",0
"Oaklawn","cemetery","canopy",21.78
"Oaklawn","commercial","canopy",19.21
"Oaklawn","golf","canopy",1.22
"Oaklawn","industrial","canopy",0
"Oaklawn","institutional","canopy",28.96
"Oaklawn","natural area","canopy",2.77
"Oaklawn","other","canopy",0.17
"Oaklawn","park","canopy",44.63
"Oaklawn","residential","canopy",594.34
"Oaklawn","transit","canopy",408.91
"Oaklawn","utility","canopy",0.5
"Oaklawn","vacant","canopy",7.3
"Oaklawn","water","canopy",0.14
"OakPark","agriculture","canopy",57.34
"OakPark","cemetery","canopy",1.22
"OakPark","commercial","canopy",32.97
"OakPark","golf","canopy",0
"OakPark","industrial","canopy",0
"OakPark","institutional","canopy",14.12
"OakPark","natural area","canopy",95.44
"OakPark","other","canopy",1.34
"OakPark","park","canopy",25.9
"OakPark","residential","canopy",492.22
"OakPark","transit","canopy",114.23
"OakPark","utility","canopy",6.53
"OakPark","vacant","canopy",68.5
"OakPark","water","canopy",3.9
"OakwoodHills","agriculture","canopy",2.37
