"town","landUse","status","acres"
"Bartlett","residential","canopy",820.54
"Bartlett","transit","canopy",268.05
"Bartlett","utility","canopy",17.48
"Bartlett","vacant","canopy",73.73
"Bartlett","water","canopy",1.47
"Batavia","agriculture","canopy",19.52
"Batavia","cemetery","canopy",5.82
"Batavia","commercial","canopy",81.47
"Batavia","golf","canopy",0
"Batavia","industrial","canopy",0
"Batavia","institutional","canopy",81.94
"Batavia","natural area","canopy",52.33
"Batavia","other","canopy",0
"Batavia","park","canopy",69.61
"Batavia","residential","canopy",999.97
"Batavia","transit","canopy",228.01
"Batavia","utility","canopy",8.36
"Batavia","vacant","canopy",89.05
"Batavia","water","canopy",9.04
"BeachPark","agriculture","canopy",103
"BeachPark","cemetery","canopy",10.84
"BeachPark","commercial","canopy",21.66
"BeachPark","golf","canopy",57.34
"BeachPark","industrial","canopy",0
"BeachPark","institutional","canopy",11.64
"BeachPark","natural area","canopy",45.98
"BeachPark","other","canopy",1.33
"BeachPark","park","canopy",1.89
"BeachPark","residential","canopy",966.03
"BeachPark","transit","canopy",236
"BeachPark","utility","canopy",33.41
"BeachPark","vacant","canopy",179.52
"BeachPark","water","canopy",0.04
"BedfordPark","agriculture","canopy",0
"BedfordPark","cemetery","canopy",0
"BedfordPark","commercial","canopy",98.7
"BedfordPark","golf","canopy",0
"BedfordPark","industrial","canopy",0
"BedfordPark","institutional","canopy",2.51
"BedfordPark","natural area","canopy",0
"BedfordPark","other","canopy",0.01
"BedfordPark","park","canopy",7.05
"BedfordPark","residential","canopy",3.72
"BedfordPark","transit","canopy",43.99
"BedfordPark","utility","canopy",76.48
"BedfordPark","vacant","canopy",39.86
"BedfordPark","water","canopy",9.02
"Beecher","agriculture","canopy",33.2
"Beecher","cemetery","canopy",0
"Beecher","commercial","canopy",2.6
"Beecher","golf","canopy",24.81
"Beecher","industrial","canopy",0
"Beecher","institutional","canopy",2.57
"Beecher","natural area","canopy",0
"Beecher","other","canopy",1.07
"Beecher","park","canopy",0.81
"Beecher","residential","canopy",64.1
"Beecher","transit","canopy",31.72
"Beecher","utility","canopy",1.13
"Beecher","vacant","canopy",14.06
"Beecher","water","canopy",0.1
"Bellwood","agriculture","canopy",0
"Bellwood","cemetery","canopy",0
"Bellwood","commercial","canopy",17.1
"Bellwood","golf","canopy",0
"Bellwood","industrial","canopy",0
"Bellwood","institutional","canopy",5.55
"Bellwood","natural area","canopy",2.92
"Bellwood","other","canopy",0.15
"Bellwood","park","canopy",4.14
"Bellwood","residential","canopy",184.41
"Bellwood","transit","canopy",159.01
"Bellwood","utility","canopy",4.18
"Bellwood","vacant","canopy",8.33
"Bellwood","water","canopy",0
"Bensenville","agriculture","canopy",0.38
"Bensenville","cemetery","canopy",0.33
"Bensenville","commercial","canopy",97.01
"Bensenville","golf","canopy",7.59
"Bensenville","industrial","canopy",0
"Bensenville","institutional","canopy",29.47
"Bensenville","natural area","canopy",6.54
"Bensenville","other","canopy",0.95
"Bensenville","park","canopy",30.06
"Bensenville","residential","canopy",282.96
"Bensenville","transit","canopy",155.71
"Bensenville","utility","canopy",9.29
"Bensenville","vacant","canopy",24.31
"Bensenville","water","canopy",2.05
"Berkeley","agriculture","canopy",0
"Berkeley","cemetery","canopy",0.17
"Berkeley","commercial","canopy",4.9
"Berkeley","golf","canopy",0
"Berkeley","industrial","canopy",0
"Berkeley","institutional","canopy",0.69
"Berkeley","natural area","canopy",1.49
"Berkeley","other","canopy",0.35
"Berkeley","park","canopy",1.91
"Berkeley","residential","canopy",119.87
"Berkeley","transit","canopy",61.15
"Berkeley","utility","canopy",0.08
"Berkeley","vacant","canopy",2.63
"Berkeley","water","canopy",0.71
"Berwyn","agriculture","canopy",0
"Berwyn","cemetery","canopy",0
"Berwyn","commercial","canopy",5.25
"Berwyn","golf","canopy",0
"Berwyn","industrial","canopy",0
"Berwyn","institutional","canopy",9.34
"Berwyn","natural area","canopy",0
"Berwyn","other","canopy",0.18
"Berwyn","park","canopy",12.42
"Berwyn","residential","canopy",196.68
"Berwyn","transit","canopy",292.45
"Berwyn","utility","canopy",0.49
"Berwyn","vacant","canopy",1.4
"Berwyn","water","canopy",0
"BigRock","agriculture","canopy",113.23
"BigRock","cemetery","canopy",0
"BigRock","commercial","canopy",4.41
"BigRock","golf","canopy",0.2
"BigRock","industrial","canopy",0
"BigRock","institutional","canopy",23.34
"BigRock","natural area","canopy",0.15
"BigRock","other","canopy",0.28
"BigRock","park","canopy",0.71
"BigRock","residential","canopy",175.62
"BigRock","transit","canopy",23.47
"BigRock","utility","canopy",0
"BigRock","vacant","canopy",47.3
"BigRock","water","canopy",0
"Bloomingdale","agriculture","canopy",0.01
"Bloomingdale","cemetery","canopy",2.77
"Bloomingdale","commercial","canopy",61.6
"Bloomingdale","golf","canopy",56.14
"Bloomingdale","industrial","canopy",0
"Bloomingdale","institutional","canopy",17.12
"Bloomingdale","natural area","canopy",163.23
"Bloomingdale","other","canopy",0
"Bloomingdale","park","canopy",13.34
"Bloomingdale","residential","canopy",467.36
"Bloomingdale","transit","canopy",134.71
"Bloomingdale","utility","canopy",2.38
"Bloomingdale","vacant","canopy",28.05
"Bloomingdale","water","canopy",6.47
"BlueIsland","agriculture","canopy",0
"BlueIsland","cemetery","canopy",0
"BlueIsland","commercial","canopy",43.21
"BlueIsland","golf","canopy",5.63
"BlueIsland","industrial","canopy",0
"BlueIsland","institutional","canopy",10.06
"BlueIsland","natural area","canopy",42.26
"BlueIsland","other","canopy",6.73
"BlueIsland","park","canopy",7.87
"BlueIsland","residential","canopy",190.17
"BlueIsland","transit","canopy",174
"BlueIsland","utility","canopy",8.62
"BlueIsland","vacant","canopy",58.37
"BlueIsland","water","canopy",10.66
"Bolingbrook","agriculture","canopy",15.59
"Bolingbrook","cemetery","canopy",1.97
"Bolingbrook","commercial","canopy",245.85
"Bolingbrook","golf","canopy",11.64
"Bolingbrook","industrial","canopy",0
"Bolingbrook","institutional","canopy",64.95
"Bolingbrook","natural area","canopy",202.24
"Bolingbrook","other","canopy",2.2
"Bolingbrook","park","canopy",49.62
"Bolingbrook","residential","canopy",918.09
"Bolingbrook","transit","canopy",500.15
"Bolingbrook","utility","canopy",17.27
"Bolingbrook","vacant","canopy",73.61
"Bolingbrook","water","canopy",25.04
"BoulderHill","agriculture","canopy",0
"BoulderHill","cemetery","canopy",0
"BoulderHill","commercial","canopy",1.54
"BoulderHill","golf","canopy",0
"BoulderHill","industrial","canopy",0
"BoulderHill","institutional","canopy",2.26
"BoulderHill","natural area","canopy",0
"BoulderHill","other","canopy",0
"BoulderHill","park","canopy",2.12
"BoulderHill","residential","canopy",231.97
"BoulderHill","transit","canopy",74.96
"BoulderHill","utility","canopy",1.48
"BoulderHill","vacant","canopy",0.77
"BoulderHill","water","canopy",0.05
"Braidwood","agriculture","canopy",34.66
"Braidwood","cemetery","canopy",0
"Braidwood","commercial","canopy",4.96
"Braidwood","golf","canopy",0.03
"Braidwood","industrial","canopy",0
"Braidwood","institutional","canopy",10.15
"Braidwood","natural area","canopy",16.65
"Braidwood","other","canopy",16
"Braidwood","park","canopy",3.22
"Braidwood","residential","canopy",431.5
"Braidwood","transit","canopy",76.34
"Braidwood","utility","canopy",3.01
"Braidwood","vacant","canopy",191.5
"Braidwood","water","canopy",0.01
"Bridgeview","agriculture","canopy",0
"Bridgeview","cemetery","canopy",20.05
"Bridgeview","commercial","canopy",32.11
"Bridgeview","golf","canopy",0
"Bridgeview","industrial","canopy",0
"Bridgeview","institutional","canopy",10.42
"Bridgeview","natural area","canopy",0
"Bridgeview","other","canopy",0.03
"Bridgeview","park","canopy",7.55
"Bridgeview","residential","canopy",156.74
"Bridgeview","transit","canopy",68.99
"Bridgeview","utility","canopy",4.1
"Bridgeview","vacant","canopy",21.71
"Bridgeview","water","canopy",1.75
"Broadview","agriculture","canopy",0
"Broadview","cemetery","canopy",2.29
"Broadview","commercial","canopy",19.79
"Broadview","golf","canopy",0
"Broadview","industrial","canopy",0
"Broadview","institutional","canopy",1.62
"Broadview","natural area","canopy",2.9
"Broadview","other","canopy",2.85
"Broadview","park","canopy",2.56
"Broadview","residential","canopy",93.19
"Broadview","transit","canopy",87.11
"Broadview","utility","canopy",0.83
"Broadview","vacant","canopy",0.71
"Broadview","water","canopy",4.01
"Brookfield","agriculture","canopy",0
"Brookfield","cemetery","canopy",0
"Brookfield","commercial","canopy",60.5
"Brookfield","golf","canopy",0
"Brookfield","industrial","canopy",0
"Brookfield","institutional","canopy",6.08
